Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity,Replicate 9 Percent Group Activity,Replicate 10 Percent Group Activity,Replicate 11 Percent Group Activity,Replicate 12 Percent Group Activity
"(1110, 1111]",0.123333333,0,0,0.072727273,0.028205128,0.057575758,0,0.008333333,0.039393939,0.224242424,0,0
"(1111, 1112]",0.096666667,0,0.01,0.066666667,0.094871795,0.066666667,0.033333333,0.013888889,0.021212121,0.242424242,0,0.023333333
"(1112, 1113]",0.06,0,0,0.121212121,0.11025641,0.087878788,0.060606061,0.047222222,0,0.178787879,0.006060606,0.016666667
"(1113, 1114]",0.006896552,0,0.003448276,0.059561129,0.137931034,0.059561129,0.084639498,0.002873563,0.062695925,0.206896552,0,0.017241379
"(1114, 1115]",0.13,0,0.013333333,0.063636364,0.169230769,0.090909091,0.060606061,0.027777778,0.054545455,0.127272727,0.006060606,0.032258065
"(1115, 1116]",0.093333333,0,0,0.124242424,0.133333333,0.109090909,0.006060606,0.05,0.015151515,0.163636364,0,0
"(1116, 1117]",0,0,0,0.157575758,0.135897436,0.154545455,0,0.075,0.027272727,0.081818182,0,0.006666667
"(1117, 1118]",0.19,0,0,0.087878788,0.205128205,0.093939394,0,0.069444444,0.045454545,0.166666667,0,0.013333333
"(1118, 1119]",0.083333333,0,0,0.084848485,0.194871795,0.054545455,0.03030303,0.086111111,0.018181818,0.142424242,0,0.003333333
"(1119, 1120]",0.048275862,0,0,0.115987461,0.214854111,0.072100313,0,0.037356322,0.068965517,0.275862069,0,0.006896552
"(1120, 1121]",0.093333333,0,0,0.075757576,0.136476427,0.090909091,0,0.088709677,0.002932551,0.237536657,0,0.009677419
"(1121, 1122]",0.026666667,0,0,0.06969697,0.137931034,0.062695925,0.015673981,0.060344828,0,0.235109718,0,0.010344828
